Concept ID,Terms,Descendant Count,Descendant IDs
767310001,Family history of malignant neoplasm of breast at under age 50 in second degree female relative (situation); Family history of malignant neoplasm of breast at under age 50 in second degree female relative; Family history of female breast cancer diagnosed before age 50,0,-
767444009,"Germline BRCA-mutated, HER2-negative metastatic breast cancer; gBRCA-mutated, HER2(-) metastatic breast carcinoma; Germline BRCA-mutated human epidermal growth factor receptor 2 negative metastatic carcinoma of breast; Germline BRCA-mutated human epidermal growth factor receptor 2 negative metastatic carcinoma of breast (disorder)",0,-
1082701000112100,LABC - locally advanced breast cancer; Locally advanced breast cancer (disorder); Locally advanced breast cancer,0,-
866242004,At increased risk of malignant neoplasm of breast (finding); At increased risk of malignant neoplasm of breast; At increased risk of breast cancer,0,-
895467003,Nottingham grade of primary malignant neoplasm of breast; Histologic grade of primary malignant neoplasm of breast by Nottingham technique (observable entity); Histologic grade of primary malignant neoplasm of breast by Nottingham technique; Nottingham grade of breast cancer,5,"1287461000, 372276001, 3720001000004106, 2820001000004104, 4520001000004105"
372276001,Nottingham combined grade of primary malignant neoplasm of breast (observable entity); Nottingham combined grade of primary malignant neoplasm of breast; Nottingham combined grade; Nottingham combined grade of breast cancer,0,-
838351000000107,Education about risk of malignant neoplasm of breast; Education about risk of malignant neoplasm of breast (procedure); Education about risk of breast cancer,0,-
44721000087109,Breast cancer in full remission; Malignant neoplasm of breast in full remission; Malignant neoplasm of breast in full remission (disorder); Breast cancer in complete remission,0,-
45061000087102,Breast cancer in remission; Malignant neoplasm of breast in remission (disorder); Malignant neoplasm of breast in remission,2,"44721000087109, 1281812003"
1281812003,Malignant neoplasm of breast in partial remission; Malignant neoplasm of breast in partial remission (disorder); Breast cancer in partial remission,0,-
60631000210103,Breast cancer multidisciplinary meeting; Breast cancer multidisciplinary meeting (procedure),0,-
2820001000004104,Nottingham mitotic rate score of primary malignant neoplasm of breast (observable entity); Nottingham mitotic rate score of breast cancer; Nottingham mitotic rate score of primary malignant neoplasm of breast,0,-
